"Team","Wins","Losses","Losses By Two or Less"
"Oakland Athletics",65,83,38
"Pittsburgh Pirates",70,77,37
"San Diego Padres",83,65,23
"Seattle Mariners",75,73,39
"San Francisco Giants",72,76,43
"St. Louis Cardinals",75,73,31
"Tampa Bay Rays",73,75,30
"Texas Rangers",72,77,31
"Toronto Blue Jays",71,77,35
"Minnesota Twins",77,69,30
"Philadelphia Phillies",88,59,24
"Atlanta Braves",79,67,35
"Chicago White Sox",33,115,50
"Miami Marlins",55,93,39
"New York Yankees",85,62,30
"Milwaukee Brewers",85,62,37
"Los Angeles Angels",60,87,43
"Arizona Diamondbacks",82,65,31
"Baltimore Orioles",83,66,29
"Boston Red Sox",74,75,24
"Chicago Cubs",75,72,37
"Cincinnati Reds",72,77,40
"Cleveland Guardians",84,64,31
"Colorado Rockies",56,92,30
"Detroit Tigers",76,70,35
"Houston Astros",79,68,41
"Kansas City Royals",80,67,30
"Los Angeles Dodgers",87,60,29
"Washington Nationals",66,81,33
"New York Mets",81,66,28
